,Name,Rating,Num_Ratings,Price,Id,Status,AscLoc,BusTypes,Hours,Avg_Close,Avg_Open
312,The Scoop,4.6,261.0,2.0,ChIJ-QuKg2NVE4gRU69mL-Fc_5U,OPERATIONAL,zWORKS,"['cafe', 'bar', 'store']","[['11:00', '21:00'], ['00:00', '21:00'], ['00:00', '21:00'], ['00:00', '21:00'], ['00:00', '21:00'], ['00:00', '22:00'], ['10:00', '22:00']]",21.285714285714285,3.0
313,Dairy Queen Grill & Chill,3.5,318.0,1.0,ChIJkVsod2RVE4gRxX7qeaTIcb4,OPERATIONAL,zWORKS,['store'],"[['11:00', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00']]",21.0,10.571428571428571
314,Bub's Burgers and Ice Cream,4.4,915.0,2.0,ChIJ551QQGFVE4gRp37PUgLgxDE,OPERATIONAL,zWORKS,['store'],"[['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00'], ['11:00', '21:00']]",21.0,11.0
315,Sub 16,4.7,134.0,1.0,ChIJP_Pc4WNVE4gR2kIdc60ZW9o,OPERATIONAL,zWORKS,[],"[['11:00', '16:00'], ['10:00', '20:00'], ['10:00', '20:00'], ['10:00', '20:00'], ['10:00', '20:00'], ['10:00', '20:00'], ['10:00', '20:00']]",19.428571428571427,10.142857142857142
316,McDonald's,3.5,393.0,1.0,ChIJf09K5WxVE4gR6YILunAyjd4,OPERATIONAL,zWORKS,"['cafe', 'store']","[['06:00', '22:00'], ['05:30', '22:00'], ['05:30', '22:00'], ['05:30', '22:00'], ['05:30', '22:00'], ['05:30', '22:00'], ['05:30', '22:00']]",22.0,5.571428571428571
317,Starbucks,4.2,158.0,2.0,ChIJQ1S1GG1VE4gRd6vC5H0ZQuI,OPERATIONAL,zWORKS,"['cafe', 'store']","[['06:00', '20:00'], ['05:30', '20:00'], ['05:30', '20:00'], ['05:30', '20:00'], ['05:30', '20:00'], ['05:30', '20:00'], ['06:00', '20:00']]",20.0,5.642857142857143
318,Rice Cooker,4.3,228.0,1.0,ChIJbX091RJVE4gR6Z7uQabN8DQ,OPERATIONAL,zWORKS,[],"[['11:00', '21:30'], ['11:00', '21:30'], ['11:00', '21:30'], ['11:00', '21:30'], ['11:00', '22:00'], ['11:00', '22:00']]",21.666666666666668,11.0
319,Papa John's Pizza,2.8,90.0,1.0,ChIJZdtlJm1VE4gRzunHGnvubH4,OPERATIONAL,zWORKS,[],"[['09:30', '22:00'], ['09:30', '22:00'], ['09:30', '22:00'], ['09:30', '22:00'], ['09:30', '22:00'], ['09:30', '00:00'], ['09:30', '00:00']]",22.571428571428573,9.5
320,Amore Pizzeria & Ristorante,4.6,359.0,1.0,ChIJN0nI4BJVE4gRWIydryFpm3E,OPERATIONAL,zWORKS,['store'],"[['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00']]",20.0,11.0
321,Subway,4.3,63.0,1.0,ChIJcb3J4BJVE4gRo4o-sRlIYIM,OPERATIONAL,zWORKS,[],"[['10:00', '20:00'], ['08:00', '21:00'], ['08:00', '21:00'], ['08:00', '21:00'], ['08:00', '21:00'], ['08:00', '21:00'], ['09:00', '21:00']]",20.857142857142858,8.428571428571429
322,Papa Murphy's | Take 'N' Bake Pizza,4.5,33.0,1.0,ChIJgQm14BJVE4gRxS4P_DenCig,OPERATIONAL,zWORKS,[],"[['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '20:00'], ['11:00', '21:00'], ['11:00', '21:00']]",20.285714285714285,11.0
323,El Meson Mexican Restaurant,3.6,18.0,1.0,ChIJ0wn7jzdVE4gRs4Uu9timlKc,OPERATIONAL,zWORKS,[],"[['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:00'], ['11:00', '22:30'], ['11:00', '22:30']]",22.142857142857142,11.0
324,Books & Brews - Zionsville,4.6,191.0,2.0,ChIJi9aDlxJVE4gR1hVOPBFdEBs,OPERATIONAL,zWORKS,['bar'],"[['12:00', '20:00'], ['15:00', '22:00'], ['15:00', '22:00'], ['15:00', '22:00'], ['15:00', '22:00'], ['11:00', '00:00'], ['11:00', '00:00']]",22.285714285714285,13.428571428571429
325,Happy Kitchen & Sushi Bar,4.2,164.0,2.0,ChIJd-tH5xJVE4gRg2uX5TEObbI,OPERATIONAL,zWORKS,[],"[['12:00', '21:00'], ['11:30', '21:00'], ['11:30', '21:00'], ['11:30', '21:00'], ['11:30', '21:00'], ['11:30', '22:00'], ['11:30', '22:00']]",21.285714285714285,11.571428571428571
326,Live Healthy Be Happy Nutrition,5.0,2.0,1.5833333333333333,ChIJW0Opm7RVE4gR4C1s937_KFA,OPERATIONAL,zWORKS,['cafe'],"[['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '18:00'], ['09:00', '15:00']]",17.5,7.333333333333333
327,Domino's Pizza,2.6,134.0,1.0,ChIJNRaTUhJVE4gR2sRJMdC6Xl8,OPERATIONAL,zWORKS,['meal_delivery'],"[['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00'], ['10:30', '21:00']]",21.0,10.5
